sample,ser,his,val,thr,pro,arg,glu,sample_name,description
AF 1,0.993011713,0.996268795,0.992376848,0.959408666,0.948631495,0.929029271,0.960876485,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 1"
AF 2,0.99327851,0.993069756,0.992382162,0.960480485,0.947130343,0.92740767,0.95400451,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 2"
AF 3,0.993434071,0.990182767,0.99343822,0.95998804,0.953622423,0.925855469,0.949892575,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 3"
AF 4,0.993479095,0.993790671,0.992331596,0.938929992,0.942675338,0.926680264,0.95927013,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 4"
AF 5,0.983806818,0.97102271,0.983629425,0.957774014,0.958482242,0.891947279,0.970512384,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 1
AF 6,0.971412451,0.941823486,0.972139975,0.924697645,0.931795528,0.824864795,0.950898216,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 2
AF 7,0.972681034,0.957104491,0.921617132,0.889836657,0.921748415,0.809619514,0.94249608,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 3
AF 8,0.985717744,0.98571338,0.988252336,0.959540399,0.971684422,0.911512851,0.976155989,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 4
100% 13C biomass,0.989901207,0.972911082,0.99114132,0.980710105,0.980233704,0.963422384,0.971595592,100% 13C biomass,100% 13C biomass
75% 13C biomass,0.755897436,0.680225926,0.827588488,0.764617313,0.71007415,0.721007996,0.718845665,75% 13C biomass,75% 13C biomass
50% 13C biomass,0.59201068,0.386726608,0.493830801,0.444811319,0.447645781,0.486727704,0.589125827,50% 13C biomass,50% 13C biomass
25% 13C biomass,0.300304521,0.199993656,0.201876154,0.279924458,0.198124034,0.247006479,0.331338802,25% 13C biomass,25% 13C biomass